Designator,Footprint,Quantity,Value,LCSC Part #,,Unit Price,Sub Tota
C1,C_0603,1,4.7uf,C913906,,0.3771,0.3771
"C10, C11, C12, C2, C21, C22, C23, C24, C3, C8",C_0603,10,100nf,C424828,,0.2541,2.541
"C13, C14, C15, C16, C17, C18, C19, C20",C_0603,8,10uf,C1691,,0.3689,2.9512
"C4, C5, C7",C_0603,3,1uf,C913906,,0.3771,1.1313
C6,C_0603,1,10nf,C519405,,0.2705,0.2705
C9,C_E_1206,1,10uf,C2156473,,7.5576,7.5576
D1,DO-214,1,SS34,C8678,,1.9263,1.9263
D2,SOT-23-3,1,RB495D,C77345,,4.5083,4.5083
"D3, D4, D5, D6",LED_0603,4,R/G/B,C241893,,7.8773,31.5092
J1,USB_C_12402012E212A,1,USB_C_12402012E212A,C2765186,,3.787,3.787
"J3, J4, J5, J6",JST_S2B-PH-K-S(LF)(SN),4,JST_S2B-PH-K-S(LF)(SN),,,,0
"Q1, Q2, Q3, Q4",SOT-23-6,4,DMG6968UDM-7,C151635,,14.2955,57.182
"R1, R2, R4, R5, R6, R7, R8, R9",R_0603,8,1k,C110776,,1.787,14.296
"R10, R12, R14, R16",R_0603,4,4.7k  (+/- 0.1%),C309085,,1.8935,7.574
"R11, R13, R15, R17",R_0603,4,15k (+/- 0.1%),C326733,,2.2132,8.8528
"R18, R19, R20, R21, R3",R_0603,5,330R,C23138,,0.0902,0.451
"R22, R23, R24, R25, R26, R27",R_0603,6,2k7,C13167,,0.0902,0.5412
U1,SOT-23-5,1,MIC5504-3.3YM5-TR,C88419,,31.0417,31.0417
"U10, U11, U12, U9",SOT-23-6,4,AP9101CAK6-ATTRG1,C151339,,24.9023,99.6092
U2,TSSOP-20,1,STM32F030F4P6,C32908,,45.2552,45.2552
"U3, U4",TSSOP-14,2,MAX5387LAUDT+,C490894,,194.9635,389.927
"U5, U6, U7, U8",SOP8-EP,4,TP4056,C84051,,3.6395,14.558
,,,,,,Total ,725.8476
