Designator,Mid X,Mid Y,Rotation,Layer
C1,155.725,-76.65,0,top
C10,144.5,-74.125,0,top
C11,127.075,-77.2,270,top
C12,167.125,-77.375,270,top
C13,115.675,-86.775,90,top
C14,135.75,-86.77,90,top
C15,155.75,-86.75,90,top
C16,175.75,-86.75,90,top
C17,124.75,-87.85,270,top
C18,144.8,-87.85,270,top
C19,164.7,-87.8,270,top
C2,155.725,-75.475,0,top
C20,184.7,-87.8,270,top
C21,124.75,-90.5,270,top
C22,144.8,-90.52,270,top
C23,164.7,-90.52,270,top
C24,184.7,-90.52,270,top
C3,155.725,-74.3,0,top
C4,114.125,-77.525,0,top
C5,144.5,-76.475,180,top
C6,144.5,-75.3,180,top
C7,117.25,-79.575,270,top
C8,102.75,-83,0,top
C9,110,-83.605424,270,top
D1,110,-76.75,90,top
D2,120.598,-77.8,180,top
D3,114,-96,90,top
D4,134,-96,90,top
D5,174,-96,90,top
D6,154,-96,90,top
J1,104.62,-77,270,top
J2,138,-72,0,top
J3,120,-95.5,0,top
J4,140,-95.5,0,top
J5,160,-95.5,0,top
J6,180,-95.5,0,top
Q1,117.76,-91,180,top
Q2,137.75,-91,180,top
Q3,157.75,-91,180,top
Q4,177.75,-91,180,top
R1,144.5,-71.85,0,top
R10,126.801453,-87.393054,0,top
R11,126.8,-86.2,0,top
R12,146.8,-87.4,0,top
R13,146.8,-86.275,0,top
R14,166.675,-87.35,0,top
R15,166.675,-86.225,0,top
R16,186.675,-87.425,0,top
R17,186.675,-86.3,0,top
R18,124.75,-93.225,90,top
R19,144.8,-93.225,90,top
R2,144.5,-72.975,0,top
R20,164.7,-93.225,90,top
R21,184.7,-93.225,90,top
R22,119.775,-93.3,180,top
R23,139.775,-93.3,180,top
R24,159.8,-93.3,180,top
R25,179.8,-93.3,180,top
R26,130.35,-73.3,90,top
R27,129.2,-73.3,90,top
R3,105.45,-83,180,top
R4,155.725,-72.825,180,top
R5,155.725,-71.7,180,top
R6,114,-93.2,270,top
R7,134,-93.25,270,top
R8,174,-93.275,270,top
R9,154,-93.275,270,top
U1,114.519654,-79.788517,0,top
U10,142,-91,270,top
U11,162,-91,270,top
U12,182,-91,270,top
U2,150,-75,270,top
U3,130.5,-79.5,90,top
U4,170.5,-79.5,90,top
U5,120,-85.5,270,top
U6,140.032,-85.5,270,top
U7,160,-85.45,270,top
U8,180,-85.5,270,top
U9,122.01,-91,270,top
